date,abstract,rating,workLifeBalance,cultureAndValues,careerOpportunities,compensationAndBenefits,seniorManagement,authorJobTitle,tenure,pro,con
"February 15, 2020",Very good company,4.0,,,,,,Current Employee - Head Retail,I have been working at Bharti Airtel full-time,"Exciting, Aggressive, Innovative and Leaders",Work life balance and people orientation
"February 25, 2020",Good company for managers,3.0,4.0,3.0,4.0,4.0,1.0,Former Employee - Anonymous Employee,I worked at Bharti Airtel full-time,You will get to learn a whole of things. If you are having PR with managers then you are going to love working here.,Salary is a major concern.
"February 10, 2020",Nice company to work with,4.0,4.0,5.0,5.0,5.0,5.0,Current Employee - Zonal Sales Manager,I have been working at Bharti Airtel full-time for more than 5 years,Employee satisfaction  Good culture   Nice salary  Good values   Top management is good,No cons   No cons  No cons  No cons  No cons
"February 9, 2020",I like t work with you,5.0,4.0,4.0,5.0,5.0,5.0,Current Employee - Assistant Store Manager,I have been working at Bharti Airtel full-time for more than 3 years,It provide best servies to customers,They always keep happy to others
"February 8, 2020",Retail business,5.0,5.0,5.0,5.0,5.0,5.0,Former Employee - Store Manager,I worked at Bharti Airtel full-time for more than 5 years,Working culture and process orientation,No such negative for this company
"February 6, 2020",Always in action,4.0,2.0,3.0,4.0,4.0,4.0,Current Employee - Vice President,I have been working at Bharti Airtel full-time for more than 8 years,"Out of Box thinking, Good Learning,",Low priority to work life balance
"February 20, 2020",Tsm,3.0,2.0,2.0,3.0,3.0,3.0,Former Employee - Territory Sales Manager,I worked at Bharti Airtel full-time for more than a year,Support from the Human resource,You need to work on holiday also.
"February 5, 2020",Learning opportunities salary work life balance,4.0,4.0,3.0,4.0,4.0,3.0,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time for more than 3 years,Great learning experience .   Can explore many a things,Uneven salary structure  Office in an isolated location
"February 5, 2020",Flexible working Hours,4.0,4.0,4.0,3.0,5.0,3.0,Current Employee - SDET-2,I have been working at Bharti Airtel full-time for more than a year,Good Learning Environment at any level   Awesome Ambiance  Work Life Balance is good,"Have Flat Hierarchy in airtel Payments Bank, Which gives less transparency to the software position being held"
"February 18, 2020",Airtel,3.0,1.0,3.0,3.0,4.0,2.0,Current Employee - Zonal Sales Manager,I have been working at Bharti Airtel full-time for more than 10 years,Brand Value    Compensation  Culture   Company Vision,No work life balance not there
"February 18, 2020",Good,3.0,2.0,3.0,3.0,3.0,3.0,Current Employee - HRBP,I have been working at Bharti Airtel full-time,Good place to work at Airtel,Time management is a serious concern
"February 1, 2020",Analyst,5.0,,,,,,Former Employee - Anonymous Employee,I worked at Bharti Airtel full-time,Have a good time here. Sunshine and roses,Nothing to say here all good. Sunshine and roses
